Contenido,Título del video,Tiempo de publicación del video,Siguiente publicación,Vistas,Tiempo de reproducción (horas),Suscriptores,Duración promedio de vistas,Impresiones,Tasa de clics de las impresiones (%),Categoría,is_short,has_emojis,has_hashtags,views_until_next_video,country_with_max_views,total_subscriptions,total_subscription_loss
CIWCru78WiY,Animal Quiz for Kids | Facts Quiz,22-May-24,05-Jun-24,145,2.3205,8,00:00:57,777,5.79,Ciencia y Naturaleza,False,False,False,13,ES,9,0
awfFDzfLjiU,Capitals of the World Quiz | Facts Quiz,22-May-24,05-Jun-24,101,1.1407,0,00:00:40,986,6.29,Geografía y Banderas,False,False,False,13,ES,9,0
pYJs4-WVFnU,Flags Quiz for Kids | Facts Quiz,05-Jun-24,11-Jun-24,153,2.5069,2,00:00:58,2043,3.96,Geografía y Banderas,False,False,False,0,AE,2,0
8If3ForRc5M,African Flags Quiz | Facts Quiz,11-Jun-24,21-Jun-24,114,0.885,1,00:00:27,1708,4.8,Geografía y Banderas,False,False,False,0,AE,0,0
nvWDAXOJRlE,Olympics Quiz | Facts Quiz,21-Jun-24,27-Jun-24,6961,91.856,30,00:00:47,268415,1.89,Deportes y Eventos Internacionales,False,False,False,78,US,2,0
KQCPikSx6dc,Women in History | Facts Quiz,27-Jun-24,02-Jul-24,100,1.5388,1,00:00:55,2422,2.39,Historia y Sociedad,False,False,False,206,US,4,0
7rijZHQNbq0,Olympics Quiz | Short Quiz,02-Jul-24,03-Jul-24,54,0.3029,1,00:00:20,366,6.01,Deportes y Eventos Internacionales,True,False,False,104,US,1,0
cwCilNVm9xM,Name the Flower | Facts Quiz,03-Jul-24,06-Jul-24,235,6.6207,1,00:01:41,4541,3.19,Ciencia y Naturaleza,False,False,False,409,US,6,0
wic0IkHb6VE,Euros quiz,06-Jul-24,09-Jul-24,460,2.6591,2,00:00:20,471,3.18,Deportes y Eventos Internacionales,True,False,False,686,US,10,0
qve0bhKccpo,Euros Quiz  #2,09-Jul-24,10-Jul-24,446,2.0956,2,00:00:16,457,2.84,Deportes y Eventos Internacionales,True,False,False,349,US,5,0
NsTkNf5WT_8,MLB All-Star Game,10-Jul-24,11-Jul-24,63,0.3429,0,00:00:16,673,2.53,Deportes y Eventos Internacionales,True,False,False,1155,US,1,0
wV0mpy-nLUU,Euros 2024  - Spain vs France Semi-final,10-Jul-24,11-Jul-24,423,1.8886,1,00:00:19,537,2.23,Deportes y Eventos Internacionales,True,False,False,1155,US,1,0
OnMe42DH1Hg,Water Cycle Quiz | Facts Quiz,11-Jul-24,18-Jul-24,212,6.2374,2,00:00:19,2707,3.99,Ciencia y Naturaleza,False,False,False,2280,US,10,0
dX356EC2A5c,Inside Out 2 | Quiz #quizforkids #funquiz #insideout2,11-Jul-24,18-Jul-24,270,1.4671,0,00:01:45,447,3.8,Películas y Cultura Pop,True,False,True,2280,US,10,0
_ESSB71MDag,Planets Quiz,18-Jul-24,21-Jul-24,38,0.1908,0,00:01:29,473,1.27,Ciencia y Naturaleza,True,False,False,84,US,1,0
N8slYIa5RvM,Planets and Space Quiz | Facts Quiz,18-Jul-24,21-Jul-24,163,4.045,3,00:00:18,6190,1.62,Ciencia y Naturaleza,False,False,False,84,US,1,0
9gmTfQtWPJM,Would You Rather...? 🚀 Space Edition! #Shorts,21-Jul-24,26-Jul-24,469,3.0233,4,00:00:23,487,4.31,Ciencia y Naturaleza,True,True,True,433,US,5,-2
RfK1eP5MYS4,Would you Rather... Summer Edition,26-Jul-24,01-Aug-24,251,9.5292,1,00:02:16,11094,1.66,Juegos Would You Rather,False,False,False,232,US,7,0
ZD3y4s0dIvo,Quiz Olympics 2 | Facts Quiz,01-Aug-24,03-Aug-24,134,1.9721,4,00:00:52,1733,4.39,Deportes y Eventos Internacionales,False,False,False,201,GB,3,0
LeVzouFBmzU,Would you rather… Olympics,03-Aug-24,04-Aug-24,597,3.9218,1,00:00:23,550,3.27,Deportes y Eventos Internacionales,True,False,False,413,GB,2,0
UrQgZlRx5XE,Would you rather... Olympics 2024 Moments #olympicgames #wouldyourather,04-Aug-24,07-Aug-24,472,2.3085,0,00:00:17,611,4.26,Deportes y Eventos Internacionales,True,False,True,262,US,0,0
yN1uoxZQVaU,Would You Rather ..? | Fantasy Vacation 🧙✨💭 | The Quiz Challenge,07-Aug-24,11-Aug-24,394,12.038,0,00:01:49,10523,3.05,Juegos Would You Rather,False,True,False,160,US,2,0
0-pH13n590k,Would You Rather | Taylor Swift #swifties #wouldyourather,11-Aug-24,15-Aug-24,83,0.3761,0,00:00:16,540,2.41,Películas y Cultura Pop,True,False,True,92,ES,1,0
KO-I3woc1zA,Harry Potter | Facts Quiz,15-Aug-24,16-Aug-24,1516,44.2447,12,00:01:45,32272,3.74,Películas y Cultura Pop,False,False,False,50,US,0,0
vA-UdP3913k,Friday Pop Quiz,16-Aug-24,22-Aug-24,43,0.2489,0,00:00:20,441,2.04,Otros,True,False,False,43,US,2,0
jMFoaRWq69Q,Would You Rather ..? | Disney Parks   🏰 🎢  🧚 | The Quiz Challenge,22-Aug-24,06-Sep-24,278,6.1208,1,00:01:19,5373,2.61,Películas y Cultura Pop,False,True,False,526,US,10,-1
oTU_xrW4AXI,Would You Rather... Hardest Choices Edition,06-Sep-24,12-Sep-24,639,25.6145,1,00:02:24,16064,2.42,Juegos Would You Rather,False,False,False,214,US,1,0
9o2NvXVnNXk,Would You Rather ... 5 Tough Choices! 🤯 #shorts #wouldyourather,12-Sep-24,20-Sep-24,560,3.1657,3,00:02:12,289,5.19,Juegos Would You Rather,True,True,False,500,US,5,0
8EWRh-nRfxg,Harry Potter EXPERTS Only! Tricky Questions Ahead!,12-Sep-24,20-Sep-24,3246,119.6582,13,00:00:20,66361,3.95,Películas y Cultura Pop,False,False,False,500,US,5,0
SNreqswmZMc,Test Your Bird Knowledge With This Calming Quiz!,20-Sep-24,21-Sep-24,161,2.6999,1,00:01:00,4549,2.4,Ciencia y Naturaleza,False,False,False,64,IN,3,0
HINQqOrQfyU,Birds Quiz,21-Sep-24,27-Sep-24,501,2.8208,0,00:00:20,235,1.7,Ciencia y Naturaleza,True,False,False,391,US,1,0
G6gSSwpW0XA,The Most Difficult Flag Quiz Ever (Can You Get Them All?),27-Sep-24,03-Oct-24,2252,27.7175,12,00:00:44,32280,5.95,Geografía y Banderas,False,False,False,419,US,7,0
Bw-ynQMMN7g,Can You Name These Iconic HORROR MOVIES?,03-Oct-24,27-Oct-24,88,2.5537,0,00:01:44,3450,1.74,Películas y Cultura Pop,False,False,False,1064,US,17,-1
2eNWSMedga0,Design Your DREAM HALLOWEEN House Room by Room?,27-Oct-24,31-Oct-24,72,1.453,0,00:01:12,1184,4.14,Especiales y Festividades,False,False,False,118,US,-1,0
Bt62oT9YD5o,Halloween SPECIAL EDITION Choose one button: Yes ✅ or No 🚫,31-Oct-24,,559,11.9006,5,00:01:16,11458,4.38,Especiales y Festividades,False,True,False,0,US,9,0
